,lat,lat_long_deg,climate_zone,long,station_name,wmo_code
35,60.78500,N 60° 47.10'   W 161° 49.75',7,-161.8292,USA AK Bethel.AP.702190 US.Normals.2006-2020,702190
36,66.91610,N 66° 54.97'   W 151° 30.53',8,-151.5089,USA AK Bettles.AP.701740 US.Normals.1981-2010,701740
37,66.91610,N 66° 54.97'   W 151° 30.53',8,-151.5089,USA AK Bettles.AP.701740 US.Normals.1991-2020,701740
38,66.91610,N 66° 54.97'   W 151° 30.53',8,-151.5089,USA AK Bettles.AP.701740 US.Normals.2006-2020,701740
39,63.99440,N 63° 59.66'   W 145° 43.28',8,-145.7214,USA AK Big.Delta-Ft.Greely.Allen.AAF.702670 US.Normals.1981-2010,702670
40,63.99440,N 63° 59.66'   W 145° 43.28',8,-145.7214,USA AK Big.Delta-Ft.Greely.Allen.AAF.702670 US.Normals.1991-2020,702670
41,63.99440,N 63° 59.66'   W 145° 43.28',8,-145.7214,USA AK Big.Delta-Ft.Greely.Allen.AAF.702670 US.Normals.2006-2020,702670
42,68.87500,N 68° 52.50'   W 166° 6.78',8,-166.1130,USA AK Cape.Lisburne.AFS.701040 US.Normals.2006-2020,701040
43,58.65000,N 58° 39.00'   W 162° 4.00',7,-162.0667,USA AK Cape.Newenham.LRRS.AP.703050 US.Normals.2006-2020,703050
44,55.22080,N 55° 13.25'   W 162° 43.95',7,-162.7325,USA AK Cold.Bay.AP.703160 US.Normals.1981-2010,703160
45,55.22080,N 55° 13.25'   W 162° 43.95',7,-162.7325,USA AK Cold.Bay.AP.703160 US.Normals.1991-2020,703160
46,55.22080,N 55° 13.25'   W 162° 43.95',7,-162.7325,USA AK Cold.Bay.AP.703160 US.Normals.2006-2020,703160
47,60.48890,N 60° 29.33'   W 145° 27.07',7,-145.4511,USA AK Cordova-Smith.AP.702960 US.Normals.1981-2010,702960
48,60.48890,N 60° 29.33'   W 145° 27.07',7,-145.4511,USA AK Cordova-Smith.AP.702960 US.Normals.1991-2020,702960
49,60.48890,N 60° 29.33'   W 145° 27.07',7,-145.4511,USA AK Cordova-Smith.AP.702960 US.Normals.2006-2020,702960
50,70.19170,N 70° 11.50'   W 148° 28.63',8,-148.4772,USA AK Deadhorse.AP.700637 US.Normals.1991-2020,700637
51,70.19170,N 70° 11.50'   W 148° 28.63',8,-148.4772,USA AK Deadhorse.AP.700637 US.Normals.2006-2020,700637
52,66.06890,N 66° 4.13'   W 162° 45.83',8,-162.7639,USA AK Deering.AP.701333 US.Normals.2006-2020,701333
53,53.89500,N 53° 53.70'   W 166° 32.60',6A,-166.5433,USA AK Dutch.Harbor-Unalaska-Madsen.AP.704890 US.Normals.2006-2020,704890
54,64.77670,N 64° 46.60'   W 141° 8.90',8,-141.1483,USA AK Eagle.AP.701975 US.Normals.2006-2020,701975
55,64.68330,N 64° 41.00'   W 147° 5.00',8,-147.0833,USA AK Fairbanks-Eielson.AFB.702650 US.Normals.2006-2020,702650
56,64.97360,N 64° 58.42'   W 147° 30.60',7,-147.5100,USA AK Fairbanks.11.NE-NOAA-NESDIS-FCDAS.702630 US.Normals.2006-2020,702630
57,64.80390,N 64° 48.23'   W 147° 52.57',8,-147.8761,USA AK Fairbanks.Intl.AP.702610 US.Normals.1981-2010,702610
58,64.80390,N 64° 48.23'   W 147° 52.57',8,-147.8761,USA AK Fairbanks.Intl.AP.702610 US.Normals.1991-2020,702610
59,64.80390,N 64° 48.23'   W 147° 52.57',8,-147.8761,USA AK Fairbanks.Intl.AP.702610 US.Normals.2006-2020,702610
60,64.73670,N 64° 44.20'   W 156° 56.06',8,-156.9344,USA AK Galena-Pike.AP.702220 US.Normals.1981-2010,702220
61,64.73670,N 64° 44.20'   W 156° 56.06',8,-156.9344,USA AK Galena-Pike.AP.702220 US.Normals.1991-2020,702220
62,64.73670,N 64° 44.20'   W 156° 56.06',8,-156.9344,USA AK Galena-Pike.AP.702220 US.Normals.2006-2020,702220
63,62.15920,N 62° 9.55'   W 145° 27.53',8,-145.4589,USA AK Gulkana.AP.702710 US.Normals.1991-2020,702710
64,62.15920,N 62° 9.55'   W 145° 27.53',8,-145.4589,USA AK Gulkana.AP.702710 US.Normals.2006-2020,702710
65,58.41110,N 58° 24.67'   W 135° 42.53',6A,-135.7089,USA AK Gustavus.AP.703670 US.Normals.2006-2020,703670
66,59.24330,N 59° 14.60'   W 135° 30.56',6A,-135.5094,USA AK Haines.AP.703626 US.Normals.2006-2020,703626
67,59.64190,N 59° 38.51'   W 151° 29.45',7,-151.4908,USA AK Homer.AP.703410 US.Normals.1991-2020,703410
68,59.64190,N 59° 38.51'   W 151° 29.45',7,-151.4908,USA AK Homer.AP.703410 US.Normals.2006-2020,703410
69,59.74940,N 59° 44.96'   W 154° 54.53',7,-154.9089,USA AK Iliamna.AP.703400 US.Normals.1991-2020,703400
70,59.74940,N 59° 44.96'   W 154° 54.53',7,-154.9089,USA AK Iliamna.AP.703400 US.Normals.2006-2020,703400
71,58.35670,N 58° 21.40'   W 134° 33.83',6A,-134.5639,USA AK Juneau.Intl.AP.703810 US.Normals.1981-2010,703810
72,58.35670,N 58° 21.40'   W 134° 33.83',6A,-134.5639,USA AK Juneau.Intl.AP.703810 US.Normals.1991-2020,703810
73,58.35670,N 58° 21.40'   W 134° 33.83',6A,-134.5639,USA AK Juneau.Intl.AP.703810 US.Normals.2006-2020,703810
74,64.32670,N 64° 19.60'   W 158° 44.50',8,-158.7417,USA AK Kaltag.AP.702006 US.Normals.2006-2020,702006
75,60.57970,N 60° 34.78'   W 151° 14.35',7,-151.2392,USA AK Kenai.Muni.AP.702590 US.Normals.1981-2010,702590
76,60.57970,N 60° 34.78'   W 151° 14.35',7,-151.2392,USA AK Kenai.Muni.AP.702590 US.Normals.1991-2020,702590
77,60.57970,N 60° 34.78'   W 151° 14.35',7,-151.2392,USA AK Kenai.Muni.AP.702590 US.Normals.2006-2020,702590
78,55.35670,N 55° 21.40'   W 131° 42.70',5C,-131.7117,USA AK Ketchikan.Intl.AP.703950 US.Normals.1981-2010,703950
79,55.35670,N 55° 21.40'   W 131° 42.70',5C,-131.7117,USA AK Ketchikan.Intl.AP.703950 US.Normals.1991-2020,703950
80,55.35670,N 55° 21.40'   W 131° 42.70',5C,-131.7117,USA AK Ketchikan.Intl.AP.703950 US.Normals.2006-2020,703950
81,58.67940,N 58° 40.76'   W 156° 37.76',7,-156.6294,USA AK King.Salmon.AP.703260 US.Normals.1981-2010,703260
82,58.67940,N 58° 40.76'   W 156° 37.76',7,-156.6294,USA AK King.Salmon.AP.703260 US.Normals.1991-2020,703260
83,58.67940,N 58° 40.76'   W 156° 37.76',7,-156.6294,USA AK King.Salmon.AP.703260 US.Normals.2006-2020,703260
84,67.73170,N 67° 43.90'   W 164° 32.90',8,-164.5483,USA AK Kivalina.AP.701486 US.Normals.2006-2020,701486
85,55.58000,N 55° 34.80'   W 133° 4.50',5C,-133.0750,USA AK Klawock.AP.703894 US.Normals.2006-2020,703894
86,57.75110,N 57° 45.07'   W 152° 29.14',6A,-152.4856,USA AK Kodiak.AP.703500 US.Normals.1981-2010,703500
87,57.75110,N 57° 45.07'   W 152° 29.14',6A,-152.4856,USA AK Kodiak.AP.703500 US.Normals.1991-2020,703500
88,57.75110,N 57° 45.07'   W 152° 29.14',6A,-152.4856,USA AK Kodiak.AP.703500 US.Normals.2006-2020,703500
89,66.88638,N 66° 53.18'   W 162° 36.80',8,-162.6133,USA AK Kotzebue-Wien.Meml.AP.701330 US.Normals.1981-2010,701330
90,66.88638,N 66° 53.18'   W 162° 36.80',8,-162.6133,USA AK Kotzebue-Wien.Meml.AP.701330 US.Normals.1991-2020,701330
91,66.88638,N 66° 53.18'   W 162° 36.80',8,-162.6133,USA AK Kotzebue-Wien.Meml.AP.701330 US.Normals.2006-2020,701330
92,62.95750,N 62° 57.45'   W 155° 36.62',8,-155.6103,USA AK McGrath.AP.702310 US.Normals.1981-2010,702310
93,62.95750,N 62° 57.45'   W 155° 36.62',8,-155.6103,USA AK McGrath.AP.702310 US.Normals.1991-2020,702310
94,62.95750,N 62° 57.45'   W 155° 36.62',8,-155.6103,USA AK McGrath.AP.702310 US.Normals.2006-2020,702310
95,59.43333,N 59° 26.00'   W 146° 20.00',6A,-146.3333,USA AK Middleton.Island.AP.703430 US.Normals.2006-2020,703430
96,51.88330,N 51° 53.00'   W 176° 39.00',6A,-176.6500,USA AK NAS.Adak.704540 US.Normals.2006-2020,704540
97,64.51110,N 64° 30.67'   W 165° 26.40',8,-165.4400,USA AK Nome.AP.702000 US.Normals.1981-2010,702000
98,64.51110,N 64° 30.67'   W 165° 26.40',8,-165.4400,USA AK Nome.AP.702000 US.Normals.1991-2020,702000
99,64.51110,N 64° 30.67'   W 165° 26.40',8,-165.4400,USA AK Nome.AP.702000 US.Normals.2006-2020,702000
100,62.96140,N 62° 57.68'   W 141° 55.75',8,-141.9292,USA AK Northway.AP.702910 US.Normals.1981-2010,702910
101,62.96140,N 62° 57.68'   W 141° 55.75',8,-141.9292,USA AK Northway.AP.702910 US.Normals.1991-2020,702910
102,62.96140,N 62° 57.68'   W 141° 55.75',8,-141.9292,USA AK Northway.AP.702910 US.Normals.2006-2020,702910
103,70.21170,N 70° 12.70'   W 151° 0.10',8,-151.0017,USA AK Nuiqsut.AP.703644 US.Normals.2006-2020,703644
104,61.59610,N 61° 35.77'   W 149° 5.50',7,-149.0917,USA AK Palmer.Muni.AP.702740 US.Normals.2006-2020,702740
105,56.80560,N 56° 48.34'   W 132° 56.23',6A,-132.9372,USA AK Petersburg.Johnson.AP.703860 US.Normals.2006-2020,703860
106,56.95000,N 56° 57.00'   W 158° 37.00',7,-158.6167,USA AK Port.Heiden.AP.703330 US.Normals.2006-2020,703330
107,60.78500,N 60° 47.10'   W 148° 50.33',7,-148.8389,USA AK Portage.Glacier.700001 US.Normals.2006-2020,700001
108,59.44330,N 59° 26.60'   W 151° 42.10',7,-151.7017,USA AK Seldovia.AP.703621 US.Normals.2006-2020,703621
109,60.12830,N 60° 7.70'   W 149° 25.00',7,-149.4167,USA AK Seward.AP.702770 US.Normals.2006-2020,702770
110,57.05750,N 57° 3.45'   W 135° 19.60',6A,-135.3267,USA AK Sitka.1.NE.703730 US.Normals.2006-2020,703730
111,57.04810,N 57° 2.89'   W 135° 21.88',5C,-135.3647,USA AK Sitka.Gutierrez.AP.703710 US.Normals.1981-2010,703710
112,57.04810,N 57° 2.89'   W 135° 21.88',5C,-135.3647,USA AK Sitka.Gutierrez.AP.703710 US.Normals.1991-2020,703710
113,57.04810,N 57° 2.89'   W 135° 21.88',5C,-135.3647,USA AK Sitka.Gutierrez.AP.703710 US.Normals.2006-2020,703710
114,59.45560,N 59° 27.34'   W 135° 19.43',6A,-135.3239,USA AK Skagway.AP.703620 US.Normals.2006-2020,703620
115,61.10000,N 61° 6.00'   W 155° 35.00',7,-155.5833,USA AK Sparrevohn.LRRS.AP.702350 US.Normals.2006-2020,702350
116,56.60000,N 56° 36.00'   W 169° 33.90',7,-169.5650,USA AK St.George.Island.703835 US.Normals.2006-2020,703835
117,57.15750,N 57° 9.45'   W 170° 12.71',7,-170.2119,USA AK St.Paul.Island.703090 US.Normals.2006-2020,703090
118,57.15530,N 57° 9.32'   W 170° 13.33',7,-170.2222,USA AK St.Paul.Island.AP.703080 US.Normals.1981-2010,703080
119,57.15530,N 57° 9.32'   W 170° 13.33',7,-170.2222,USA AK St.Paul.Island.AP.703080 US.Normals.1991-2020,703080
120,57.15530,N 57° 9.32'   W 170° 13.33',7,-170.2222,USA AK St.Paul.Island.AP.703080 US.Normals.2006-2020,703080
121,62.32000,N 62° 19.20'   W 150° 5.70',7,-150.0950,USA AK Talkeetna.AP.702510 US.Normals.1991-2020,702510
122,62.32000,N 62° 19.20'   W 150° 5.70',7,-150.0950,USA AK Talkeetna.AP.702510 US.Normals.2006-2020,702510
123,65.17440,N 65° 10.46'   W 152° 6.41',8,-152.1069,USA AK Tanana-Calhoun.Meml.AP.701780 US.Normals.2006-2020,701780
124,62.90000,N 62° 54.00'   W 155° 58.00',7,-155.9667,USA AK Tatalina.LRRS.AP.702315 US.Normals.2006-2020,702315
125,65.56670,N 65° 34.00'   W 167° 55.00',8,-167.9167,USA AK Tin.City.LRRS.AP.701170 US.Normals.2006-2020,701170
126,63.88330,N 63° 53.00'   W 160° 48.00',8,-160.8000,USA AK Unalakleet.AP.702070 US.Normals.2006-2020,702070
127,61.13140,N 61° 7.88'   W 146° 14.62',7,-146.2436,USA AK Valdez.AP-Pioneer.Field.702756 US.Normals.2006-2020,702756
128,70.63920,N 70° 38.35'   W 159° 59.70',8,-159.9950,USA AK Wainwright.AP.700300 US.Normals.2006-2020,700300
129,56.47330,N 56° 28.40'   W 132° 23.25',6A,-132.3875,USA AK Wrangell.AP.703870 US.Normals.2006-2020,703870
130,59.51190,N 59° 30.71'   W 139° 40.27',6A,-139.6711,USA AK Yakutat.AP.703610 US.Normals.1981-2010,703610
131,59.51190,N 59° 30.71'   W 139° 40.27',6A,-139.6711,USA AK Yakutat.AP.703610 US.Normals.1991-2020,703610
132,59.51190,N 59° 30.71'   W 139° 40.27',6A,-139.6711,USA AK Yakutat.AP.703610 US.Normals.2006-2020,703610
133,31.30890,N 31° 18.53'   W 86° 23.63',2A,-86.39390,USA AL Andalusia-South.Alabama.Rgnl.AP.722275 US.Normals.2006-2020,722275
134,33.58720,N 33° 35.23'   W 85° 51.34',3A,-85.85560,USA AL Anniston.Rgnl.AP.722287 US.Normals.1981-2010,722287
135,33.58720,N 33° 35.23'   W 85° 51.34',3A,-85.85560,USA AL Anniston.Rgnl.AP.722287 US.Normals.1991-2020,722287
136,33.58720,N 33° 35.23'   W 85° 51.34',3A,-85.85560,USA AL Anniston.Rgnl.AP.722287 US.Normals.2006-2020,722287
137,31.14500,N 31° 8.70'   W 87° 3.10',3A,-87.05170,USA AL Auburn.Univ.Brewton.Agricultural.Research.Unit.722277 US.Normals.2006-2020,722277
138,34.28500,N 34° 17.10'   W 85° 57.73',3A,-85.96220,USA AL Auburn.Univ.Sand.Mountain.Research.and.Extension.Center.722380 US.Normals.2006-2020,722380
139,33.17830,N 33° 10.70'   W 86° 46.90',3A,-86.78170,USA AL Birmingham-Shelby.County.AP.722300 US.Normals.2006-2020,722300
140,33.56560,N 33° 33.94'   W 86° 44.70',3A,-86.74500,USA AL Birmingham-Shuttlesworth.Intl.AP.722280 US.Normals.1981-2010,722280
141,33.56560,N 33° 33.94'   W 86° 44.70',3A,-86.74500,USA AL Birmingham-Shuttlesworth.Intl.AP.722280 US.Normals.1991-2020,722280
142,33.56560,N 33° 33.94'   W 86° 44.70',3A,-86.74500,USA AL Birmingham-Shuttlesworth.Intl.AP.722280 US.Normals.2006-2020,722280
143,32.85170,N 32° 51.10'   W 86° 36.68',3A,-86.61140,USA AL Clanton-Chilton.County.AP-Wade.Field.750020 US.Normals.2006-2020,750020
144,34.66030,N 34° 39.62'   W 87° 20.77',3A,-87.34610,USA AL Courtland.AP.720774 US.Normals.2006-2020,720774
145,31.32140,N 31° 19.28'   W 85° 26.98',2A,-85.44970,USA AL Dothan.Rgnl.AP.722268 US.Normals.2006-2020,722268
146,34.19530,N 34° 11.72'   W 86° 47.78',3A,-86.79640,USA AL East.Point.720010 US.Normals.2006-2020,720010
147,31.41560,N 31° 24.94'   W 87° 2.65',3A,-87.04420,USA AL Evergreen.Rgnl.AP-Middleton.Field.722276 US.Normals.2006-2020,722276
148,30.54860,N 30° 32.92'   W 87° 52.55',2A,-87.87580,USA AL Fairhope.722370 US.Normals.2006-2020,722370
149,31.04250,N 31° 2.55'   W 86° 18.70',2A,-86.31170,USA AL Florala.Muni.AP.720361 US.Normals.2006-2020,720361
150,31.26670,N 31° 16.00'   W 85° 43.00',2A,-85.71670,USA AL Ft.Rucker-Cairns.AAF.722269 US.Normals.1981-2010,722269
151,31.26670,N 31° 16.00'   W 85° 43.00',2A,-85.71670,USA AL Ft.Rucker-Cairns.AAF.722269 US.Normals.1991-2020,722269
152,31.26670,N 31° 16.00'   W 85° 43.00',2A,-85.71670,USA AL Ft.Rucker-Cairns.AAF.722269 US.Normals.2006-2020,722269
153,32.83690,N 32° 50.21'   W 88° 8.25',3A,-88.13750,USA AL Gainesville.750030 US.Normals.2006-2020,750030
154,32.71690,N 32° 43.01'   W 87° 37.35',3A,-87.62250,USA AL Greensboro.750040 US.Normals.2006-2020,750040
155,31.84560,N 31° 50.74'   W 86° 36.65',2A,-86.61080,USA AL Greenville-Crenshaw.Meml.AP.720362 US.Normals.2006-2020,720362
156,34.64390,N 34° 38.63'   W 86° 47.17',3A,-86.78610,USA AL Huntsville.Intl.AP-Jones.Field.723230 US.Normals.1981-2010,723230
157,34.64390,N 34° 38.63'   W 86° 47.17',3A,-86.78610,USA AL Huntsville.Intl.AP-Jones.Field.723230 US.Normals.1991-2020,723230
158,34.64390,N 34° 38.63'   W 86° 47.17',3A,-86.78610,USA AL Huntsville.Intl.AP-Jones.Field.723230 US.Normals.2006-2020,723230
159,30.62640,N 30° 37.58'   W 88° 4.09',2A,-88.06810,USA AL Mobile-Brookley.Aeroplex.722235 US.Normals.2006-2020,722235
160,30.67940,N 30° 40.76'   W 88° 14.38',2A,-88.23970,USA AL Mobile.Rgnl.AP-Bates.Field.722230 US.Normals.1981-2010,722230
161,30.67940,N 30° 40.76'   W 88° 14.38',2A,-88.23970,USA AL Mobile.Rgnl.AP-Bates.Field.722230 US.Normals.1991-2020,722230
162,30.67940,N 30° 40.76'   W 88° 14.38',2A,-88.23970,USA AL Mobile.Rgnl.AP-Bates.Field.722230 US.Normals.2006-2020,722230
163,32.38330,N 32° 23.00'   W 86° 21.00',2A,-86.35000,USA AL Montgomery-Maxwell-Gunter.AFB.722265 US.Normals.2006-2020,722265
164,32.29970,N 32° 17.98'   W 86° 24.45',2A,-86.40750,USA AL Montgomery.Rgnl.AP-Dannelly.Field.722260 US.Normals.1981-2010,722260
165,32.29970,N 32° 17.98'   W 86° 24.45',2A,-86.40750,USA AL Montgomery.Rgnl.AP-Dannelly.Field.722260 US.Normals.1991-2020,722260
166,32.29970,N 32° 17.98'   W 86° 24.45',2A,-86.40750,USA AL Montgomery.Rgnl.AP-Dannelly.Field.722260 US.Normals.2006-2020,722260
167,34.74420,N 34° 44.65'   W 87° 35.98',3A,-87.59970,USA AL Muscle.Shoals-Northwest.Alabama.Rgnl.AP.723235 US.Normals.1981-2010,723235
168,34.74420,N 34° 44.65'   W 87° 35.98',3A,-87.59970,USA AL Muscle.Shoals-Northwest.Alabama.Rgnl.AP.723235 US.Normals.1991-2020,723235
169,34.74420,N 34° 44.65'   W 87° 35.98',3A,-87.59970,USA AL Muscle.Shoals-Northwest.Alabama.Rgnl.AP.723235 US.Normals.2006-2020,723235
170,34.77280,N 34° 46.37'   W 87° 38.40',3A,-87.64000,USA AL Muscle.Shoals.TVA.750050 US.Normals.2006-2020,750050
171,34.45360,N 34° 27.22'   W 87° 42.62',3A,-87.71030,USA AL Russellville.Muni.AP-Pugh.Field.750060 US.Normals.2006-2020,750060
172,34.69420,N 34° 41.65'   W 85° 59.98',3A,-85.99970,USA AL Scottsboro.Muni.AP-Word.Field.750070 US.Normals.2006-2020,750070
173,32.45670,N 32° 27.40'   W 87° 14.53',3A,-87.24220,USA AL Selma-Auburn.Univ-Black.Belt.Research.and.Extension.Center.722360 US.Normals.2006-2020,722360
174,32.33500,N 32° 20.10'   W 86° 58.72',3A,-86.97860,USA AL Selma-Craig.Field.AP.750100 US.Normals.2006-2020,750100
175,34.65250,N 34° 39.15'   W 86° 56.72',3A,-86.94530,USA AL Tanner-Pryor.Field.Rgnl.AP.722279 US.Normals.2006-2020,722279
176,31.88140,N 31° 52.88'   W 87° 44.20',3A,-87.73670,USA AL Thomasville.721551 US.Normals.2006-2020,721551
177,31.79000,N 31° 47.40'   W 86° 1.79E-02',3A,-86.00030,USA AL Troy-Pike.County.750010 US.Normals.2006-2020,750010
178,31.86060,N 31° 51.64'   W 86° 0.73',3A,-86.01220,USA AL Troy.Muni.AP.722267 US.Normals.2006-2020,722267
179,33.21190,N 33° 12.71'   W 87° 36.97',3A,-87.61610,USA AL Tuscaloosa.Natl.AP.722286 US.Normals.1981-2010,722286
180,33.21190,N 33° 12.71'   W 87° 36.97',3A,-87.61610,USA AL Tuscaloosa.Natl.AP.722286 US.Normals.1991-2020,722286
181,33.21190,N 33° 12.71'   W 87° 36.97',3A,-87.61610,USA AL Tuscaloosa.Natl.AP.722286 US.Normals.2006-2020,722286
182,34.56530,N 34° 33.92'   W 85° 37.03',3A,-85.61720,USA AL Valley.Head.720011 US.Normals.2006-2020,720011
183,35.82000,N 35° 49.20'   W 91° 46.87',4A,-91.78110,USA AR Batesville-Univ.Arkansas.Experimental.Farm.722450 US.Normals.2006-2020,722450
184,36.28330,N 36° 17.00'   W 94° 18.00',4A,-94.30000,USA AR Bentonville-Northwest.Arkansas.Rgnl.AP.723436 US.Normals.2006-2020,723436
185,35.94030,N 35° 56.42'   W 89° 49.85',3A,-89.83080,USA AR Blytheville.Muni.AP.723409 US.Normals.2006-2020,723409
186,34.05000,N 34° 3.00'   W 94° 24.05',3A,-94.40080,USA AR De.Queen-Helms.Sevier.County.AP.743312 US.Normals.2006-2020,743312
187,33.22080,N 33° 13.25'   W 92° 48.85',3A,-92.81420,USA AR El.Dorado-South.Arkansas.Rgnl.AP-Goodwin.Field.723419 US.Normals.1991-2020,723419
188,33.22080,N 33° 13.25'   W 92° 48.85',3A,-92.81420,USA AR El.Dorado-South.Arkansas.Rgnl.AP-Goodwin.Field.723419 US.Normals.2006-2020,723419
189,36.00970,N 36° 0.58'   W 94° 10.16',4A,-94.16940,USA AR Fayetteville.Exec.AP-Drake.Field.723445 US.Normals.1981-2010,723445
190,36.00970,N 36° 0.58'   W 94° 10.16',4A,-94.16940,USA AR Fayetteville.Exec.AP-Drake.Field.723445 US.Normals.1991-2020,723445
191,36.00970,N 36° 0.58'   W 94° 10.16',4A,-94.16940,USA AR Fayetteville.Exec.AP-Drake.Field.723445 US.Normals.2006-2020,723445
192,35.33310,N 35° 19.99'   W 94° 21.75',3A,-94.36250,USA AR Fort.Smith.Rgnl.AP.723440 US.Normals.1981-2010,723440
193,35.33310,N 35° 19.99'   W 94° 21.75',3A,-94.36250,USA AR Fort.Smith.Rgnl.AP.723440 US.Normals.1991-2020,723440
194,35.33310,N 35° 19.99'   W 94° 21.75',3A,-94.36250,USA AR Fort.Smith.Rgnl.AP.723440 US.Normals.2006-2020,723440
